gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
AADAT,0.36697658390695015,-1.0024572370313887,0.09738112412965481,0.11217301272269577,1.2005723111755817,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.19440689457324317
DMAC2,0.2510055754632702,-1.382280127095982,0.07290351497910426,0.055414600079456366,1.136953056113538,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1692871603343309
AAK1,0.06416136819860473,-2.7463539908600274,0.07847948813078603,0.0030110331539068,1.3671988844677951,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1755980993569558
RBBP4,0.8380999511574588,-0.17661791215497924,0.5516361606137803,0.4685538327321438,1.499105287506376,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6122476481956238
BBOF1,0.1365840287643099,-1.9908152584152805,0.026510200727000572,0.023529386675259587,0.7928467142369326,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.12871663574028444
MUSK,0.5128051141483144,-0.6678594004372741,0.21007472214725295,0.18046175392374453,1.45720120401681,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.3090783105430269
ST6GALNAC2,0.7653908541055002,-0.26736865523164205,0.49151147397035155,0.35731139345312596,1.6395311492500688,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5615103933755846
CHST3,0.27212530415169467,-1.301492641736935,0.12143169908593526,0.05241804845110084,1.4127229713394103,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.21990018596170396
SPHK2,0.2662881358416579,-1.323176339007294,0.10753554481915399,0.05315192003224552,1.3340886132995171,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.20518466050384615
UXS1,0.43485196157069034,-0.8327496240431408,0.15743714932714845,0.13707267360620362,1.3795326486819108,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2557932871641018
BIRC2,0.051242125987785145,-2.971193312030069,0.02805863834510466,0.0036157092121937556,0.7262075907246215,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1289522068489191
YIPF1,0.41533871339045486,-0.8786609147981702,0.1468219161431181,0.12673572483897255,1.3611493291257917,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2453669778946024
RYR3,0.27930734194202517,-1.275442519437636,0.09485495023152092,0.06253369665205637,1.247528859468985,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.19191289265037156
