gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
FOXRED2,1.211767206916385,0.19207979569731293,0.18775351530488554,0.9105386643127757,1.6126495461521,256,age+stage+tumor_fraction,zscore
EIF3D,1.3020664452597035,0.2639525757098054,0.11538965113615056,0.9374085729898708,1.8085785395196718,256,age+stage+tumor_fraction,zscore
PHF21B,0.9031461305873052,-0.10187091076495436,0.444520692511275,0.6955784247263281,1.1726541597602658,256,age+stage+tumor_fraction,zscore
NLRP14,1.3047168882253777,0.26598607335032787,0.09933728910598179,0.9509094990065102,1.7901663199274218,256,age+stage+tumor_fraction,zscore
IFT27,1.1682404950089291,0.1554987664719378,0.2559641691065734,0.8933375980147531,1.52773806589093,256,age+stage+tumor_fraction,zscore
PACSIN2,1.0081412444343527,0.008108283279582122,0.9677199927348943,0.6807260377221198,1.4930364234789715,256,age+stage+tumor_fraction,zscore
TTLL12,0.6137066419936226,-0.4882382467784167,0.014887511402915773,0.4142809359229538,0.9091314848654626,256,age+stage+tumor_fraction,zscore
BIK,1.3717349189104557,0.3160763028454508,0.027783214599757043,1.0351320005529543,1.8177939497118414,256,age+stage+tumor_fraction,zscore
SCUBE1,0.9845908548158915,-0.015529099923911464,0.9049961935078461,0.762965329479431,1.2705939758082057,256,age+stage+tumor_fraction,zscore
TOX4,1.1047660749644215,0.09963361569399495,0.4488193589157956,0.8536801150271737,1.4297018975936244,256,age+stage+tumor_fraction,zscore
SULF1,0.9632264911343029,-0.03746670155173604,0.868148664539067,0.6189019378699182,1.4991151529047384,256,age+stage+tumor_fraction,zscore
SRSF6,1.1950651791323719,0.17820072710305312,0.430842258395841,0.767074376645462,1.8618543727406847,256,age+stage+tumor_fraction,zscore
PLCG1,1.1783433391785085,0.1641095021678605,0.3655717197667414,0.8258168379963498,1.681357125576671,256,age+stage+tumor_fraction,zscore
KCTD2,1.351401339730548,0.30114208350036215,0.07048062674489823,0.975148819476109,1.8728275567278827,256,age+stage+tumor_fraction,zscore
TMPRSS6,1.3349537049703093,0.2888966133260577,0.1079600150301308,0.9386060897789923,1.8986680502292241,256,age+stage+tumor_fraction,zscore
KCTD5,0.8657601903834521,-0.14414732518446943,0.6246878017232617,0.4859505551157673,1.5424217533288533,256,age+stage+tumor_fraction,zscore
POM121L2,1.3582495353266526,0.30619676433764054,0.07312265759570581,0.9717198211553769,1.8985326428985951,256,age+stage+tumor_fraction,zscore
ETAA1,1.1907434088871687,0.174577825421845,0.32297511962187636,0.8423015012528697,1.683328195069395,256,age+stage+tumor_fraction,zscore
