gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
ARHGAP42,0.7831973553870094,-0.24437056444798091,0.13253031763628798,0.5696208174854138,1.0768533709723709,256,age+stage+tumor_fraction,zscore
VAMP8,0.8182385212250783,-0.20060139414400274,0.24545493342233782,0.5832634400865607,1.1478762967163552,256,age+stage+tumor_fraction,zscore
PTGES,0.73274700225284,-0.3109547904908175,0.02821789279972763,0.5550434442905535,0.9673444030976754,256,age+stage+tumor_fraction,zscore
TRIM15,0.8485729057254446,-0.16419927492838388,0.296633677933767,0.6234073641498584,1.155064918607904,256,age+stage+tumor_fraction,zscore
PGBD5,0.7203703998389921,-0.32798975503227645,0.03296605153093739,0.5328885082966341,0.9738125421825069,256,age+stage+tumor_fraction,zscore
GP1BB,0.7019770066608378,-0.3538546295371418,0.008982703128588586,0.538319050581154,0.915389706807752,256,age+stage+tumor_fraction,zscore
PRSS27,0.8964045498509321,-0.10936346137555113,0.4708686471766621,0.6658909626314163,1.2067157569132347,256,age+stage+tumor_fraction,zscore
TMEM37,0.7139651238994358,-0.33692116391478283,0.03375082658433911,0.5231101941196771,0.974452809130531,256,age+stage+tumor_fraction,zscore
HTR1F,0.7545124122667114,-0.2816835499264993,0.07389823577207441,0.5540007160942922,1.0275961090411974,256,age+stage+tumor_fraction,zscore
CCDC126,0.7375637855096011,-0.3044027056815274,0.039715159316621326,0.5518450066941,0.9857846516618105,256,age+stage+tumor_fraction,zscore
OR10Z1,0.7323636646253041,-0.31147807879244477,0.04845266305047678,0.5374932396478733,0.9978851782671476,256,age+stage+tumor_fraction,zscore
B3GALT6,0.7077039199551229,-0.3457294649089234,0.02543341618619433,0.5225957107946219,0.9583791599787489,256,age+stage+tumor_fraction,zscore
MUC15,0.7305937318735996,-0.31389774408069915,0.08221109006835346,0.5127922884156076,1.0409033308636373,256,age+stage+tumor_fraction,zscore
ECPAS,1.018954471225312,0.018777073385015747,0.9024500642137772,0.7546610343291866,1.3758073720514339,256,age+stage+tumor_fraction,zscore
FAM131A,0.8765401620251976,-0.13177275476335165,0.4178470751997434,0.6372707536501797,1.2056455615487398,256,age+stage+tumor_fraction,zscore
SLC29A4,0.7786231313668873,-0.25022813532480276,0.08315063870691772,0.5866786023747704,1.0333664433057026,256,age+stage+tumor_fraction,zscore
SSTR5,0.7101723637138933,-0.3422475726154073,0.014783006090179417,0.5393300652881062,0.9351319695362447,256,age+stage+tumor_fraction,zscore
VWC2,0.7870623605837612,-0.23944779535098953,0.09002642777969924,0.596733834307077,1.0380962563770215,256,age+stage+tumor_fraction,zscore
CDH20,0.6562412574340137,-0.42122678717035467,0.0024564015875431886,0.4996642144993071,0.8618839922128798,256,age+stage+tumor_fraction,zscore
ZNF623,0.7525266192255446,-0.28431890859865927,0.08419532112933421,0.5449725561939762,1.0391281289428116,256,age+stage+tumor_fraction,zscore
OR10D3,0.7072101393888082,-0.3464274303904303,0.03720623312899206,0.510525209040183,0.9796699015013212,256,age+stage+tumor_fraction,zscore
TMEM125,0.8037258809917879,-0.21849701197786883,0.14222955744006152,0.600309696189691,1.0760700616301637,256,age+stage+tumor_fraction,zscore
ATP5ME,0.8205931164337614,-0.19772788746431455,0.22369841821042202,0.5967654763107509,1.1283713443031518,256,age+stage+tumor_fraction,zscore
PHOSPHO1,0.7592727615114508,-0.2753941965639844,0.08852539344380092,0.5530538479470095,1.042385164687365,256,age+stage+tumor_fraction,zscore
CLRN3,0.690483595457545,-0.37036306389864593,0.013539322801870845,0.5146144971238452,0.9264558193766579,256,age+stage+tumor_fraction,zscore
MINAR2,0.6919902871792966,-0.3681833593310397,0.01483941716737729,0.5145904081860276,0.9305469941394203,256,age+stage+tumor_fraction,zscore
PDIK1L,0.7860332996799662,-0.24075612144529826,0.11884055567027119,0.5808253238313694,1.0637420974178373,256,age+stage+tumor_fraction,zscore
TATDN1,0.7650535534531608,-0.26780944309186716,0.07317966455292207,0.570770380423877,1.0254683139244822,256,age+stage+tumor_fraction,zscore
RTN4RL2,0.801362183267269,-0.22144227022982255,0.17108871944195952,0.5835984924784748,1.1003821240929097,256,age+stage+tumor_fraction,zscore
MTNR1B,0.7331804848951193,-0.31036337971679956,0.02339096186339077,0.5606303772798452,0.9588378461388937,256,age+stage+tumor_fraction,zscore
TVP23A,0.760553380743255,-0.2737089781047466,0.08300649003864663,0.5581235775914826,1.0364038864944418,256,age+stage+tumor_fraction,zscore
CDR2L,0.8248571413007344,-0.19254506970145235,0.2386229935920347,0.5988258968635656,1.1362055434116227,256,age+stage+tumor_fraction,zscore
TMEM123,0.77022089395499,-0.26107793000902785,0.10283549930668134,0.5628377361710807,1.0540164373493646,256,age+stage+tumor_fraction,zscore
ANKRD37,0.8287877834262755,-0.18779114766002894,0.2363501538224682,0.6073717771711145,1.1309204934675818,256,age+stage+tumor_fraction,zscore
FGF4,0.6993040769498067,-0.35766961424525695,0.012558011547702867,0.5280735717304759,0.9260569326279706,256,age+stage+tumor_fraction,zscore
ZNF366,0.813498032526962,-0.20641177085459614,0.20582223387066054,0.5908535235121963,1.1200391003703267,256,age+stage+tumor_fraction,zscore
