gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_transform,q_value
FBXO31,0.1990247758653193,-1.6143259601715796,0.033769364746178705,0.044833057248433845,0.883519078093304,260,age+stage_num,log1p,0.09664634997813437
GLIS3,0.16769849124578523,-1.7855876069389116,0.023719741339701398,0.03568588968392032,0.788064532374109,260,age+stage_num,log1p,0.0862307865695045
RNF157,0.051172975075887174,-2.972543716837336,0.007324120877230938,0.005828204524431445,0.44931048097918774,260,age+stage_num,log1p,0.08094766162165955
CPVL,0.1832814467198196,-1.696732347372745,0.06701305173401134,0.029825541690651994,1.1262859551764186,260,age+stage_num,log1p,0.13498343277850855
GAS1,0.04359007349088768,-3.132925826775751,0.00655843703380371,0.004554208972012036,0.41721724203216215,260,age+stage_num,log1p,0.08094766162165955
CYP2F1,0.32399496814641143,-1.1270272937227162,0.13740562426388733,0.07324087609087888,1.4332534642805428,260,age+stage_num,log1p,0.20993037567662945
UBE2QL1,0.390549642894837,-0.9402001912910241,0.1455552895306202,0.11010260971676003,1.3853352246387893,260,age+stage_num,log1p,0.21847351024357675
UBA2,1.0938520832859064,0.08970548762437827,0.8939229696668622,0.2926271656875754,4.088862964234767,260,age+stage_num,log1p,0.9088748480622715
HRH1,0.03774781351511893,-3.2768277250938387,0.014200202259246914,0.0027506059476366707,0.5180303730516077,260,age+stage_num,log1p,0.08094766162165955
CREB5,0.3204030283957594,-1.1381756119107562,0.0830647196720693,0.08845298371243238,1.1605951127541767,260,age+stage_num,log1p,0.1529862874972922
KRCC1,0.08733924405851033,-2.437955386120063,0.004971956226309246,0.01593688760594689,0.4786470069516942,260,age+stage_num,log1p,0.08094766162165955
CNTN2,0.6997234163099089,-0.3570701415763057,0.4835208378043785,0.2577102914931541,1.899857613351915,260,age+stage_num,log1p,0.5449620518047371
SV2B,0.08373987625069211,-2.4800399961723594,0.013576424786842633,0.011686248267289897,0.6000528753191922,260,age+stage_num,log1p,0.08094766162165955
SPINK2,0.05213809098297278,-2.9538594844387256,0.12268185070610126,0.0012254513912311272,2.218268754518101,260,age+stage_num,log1p,0.19497091239918043
BRSK2,0.090614154105431,-2.4011448518060052,0.024200361284842778,0.011230519272484243,0.7311260258784545,260,age+stage_num,log1p,0.08655228182399292
JAM2,0.025813388441479755,-3.656861989812829,0.005390730125727839,0.001964485463732589,0.33918857386944945,260,age+stage_num,log1p,0.08094766162165955
CLEC12A,0.03605557283489243,-3.3226938409323177,0.006061566347010385,0.0033606221161621296,0.3868344275305945,260,age+stage_num,log1p,0.08094766162165955
CFAP300,0.058493409752135093,-2.8388411848999,0.024012506902658277,0.004970923180108489,0.6882985032081103,260,age+stage_num,log1p,0.08636732773276636
ZFTA,0.0862963113765026,-2.4499684236775634,0.011963517339654912,0.012770646542184346,0.5831383190029561,260,age+stage_num,log1p,0.08094766162165955
MYH7,0.047356046367428725,-3.0500607723085387,0.00787565361405075,0.004993242059122589,0.449126058981432,260,age+stage_num,log1p,0.08094766162165955
TMEM248,0.9557620114252695,-0.045246338945721505,0.8730506328731655,0.5486742089356307,1.664887847117386,260,age+stage_num,log1p,0.8910315279312204
FANK1,0.7492524655925896,-0.2886792820432452,0.5533890795451248,0.2884271855834975,1.946346548647578,260,age+stage_num,log1p,0.6097399855746937
CHMP3,0.037619954812264864,-3.2802206562725242,0.005254636931967199,0.003758476297884825,0.376551795969373,260,age+stage_num,log1p,0.08094766162165955
GSX1,0.248751003616668,-1.3913028683117028,0.12428386610847714,0.04219594709019917,1.4664219212340355,260,age+stage_num,log1p,0.1964093000824504
