gene,spearman_r,p_value,n_samples
MEF2D,-0.08762311960892784,0.15491152408579753,265
TMEM79,-0.057734109502367174,0.34917976444222487,265
SND1,0.03627127365107362,0.5566290772673357,265
COL18A1,0.009640139206519566,0.8758817786071695,265
SLC19A1,-0.07819772161290871,0.2044792605068571,265
KPNB1,-0.025764431180552293,0.6763118516679109,265
NPEPPS,-0.08288559317366823,0.1785551325211469,265
TBX21,-0.06112289346987406,0.3215722721528051,265
CYP51A1,0.08467478082692186,0.16933028256805194,265
TCF25,-0.02408390386954888,0.696343697457904,265
TUBB6,0.04137669756558398,0.5024326815412856,265
DEF8,0.002724891846755531,0.964786100197383,265
MEOX1,-0.006081754823512344,0.9215061386301195,265
SOST,-0.007253480888014722,0.9064468274594569,265
NKX2-1,-0.1078052466192188,0.07981596222555482,265
PAX9,0.01829491934503713,0.7668966361198706,265
IRX2,-0.13577738510952556,0.02709880146980465,265
COL1A1,-0.014861639451030164,0.809710440572142,265
ITGA3,-0.05114097395835379,0.40703541149290645,265
SGCA,0.04923893431759994,0.42472718759249317,265
DLX3,-0.09816349524144923,0.11087231161293074,265
FOXM1,-0.09039057277668347,0.14223963931248623,265
ITFG2,-0.06303847534912795,0.3066114273783449,265
TULP3,0.03204835227881505,0.6034981681876225,265
GTF2H4,-0.042671593513586605,0.4891417091583822,265
TUBB,-0.030555159267062013,0.6204827708429639,265
ELL2,-0.08146656003941535,0.1861318814206181,265
JUP,-0.08363654254191975,0.17463904231139035,265
FKBP10,-0.09521096481419324,0.12207808122747077,265
KLHL10,-0.019942880796790474,0.7465861624278557,265
MNX1,-0.045219146522841785,0.46355255926658534,265
NOM1,-0.04177167952183478,0.49835851623678284,265
ERGIC1,0.01345550368677731,0.8274180902390161,265
TNK1,-0.020901800256292423,0.734846902983929,265
ACAP1,-0.037222777122825554,0.5463173915896684,265
TCEA3,-0.034207049582569427,0.579318585687045,265
CSN3,-0.11510064395973361,0.06133560029892832,265
IFRD1,0.04395617156558921,0.47614500032555773,265
STK38L,-0.055605398583862854,0.367264594008741,265
BRPF1,-0.0028522533755057887,0.963141340034559,265
AKR1B1,-0.013954309471528323,0.821126079713095,265
HOXC13,-0.06085656277937352,0.32368924353032513,265
HOXC11,-0.013958823551028331,0.8210691900094733,265
HOXC8,-0.02121069226779305,0.731078321723065,265
HOXC6,-0.025207587230801163,0.6829250670208122,265
TAT,0.004035264638758191,0.947872176225031,265
MARVELD3,0.003594497019007295,0.9535592525392205,265
DDX18,0.042440408156336144,0.49150073279862927,265
UBL3,-0.077357780391657,0.20939811060098423,265
GRAMD2B,0.00790769998126605,0.8980528197160628,265
EEF1E1,0.004418316527758967,0.9429319200547562,265
AKT1,0.02908647125830903,0.637387336038217,265
CLDN15,0.034676836284820385,0.5741170196671171,265
IL16,-0.08112252269466465,0.18800390457962912,265
TCIRG1,-0.039841588101330865,0.5184318472755268,265
NAGLU,-0.07085492643764381,0.2503798350817558,265
