gene,HR,coef,p_value,CI_lower,CI_upper,n_samples
KCNQ3,0.9988292963303084,-0.0011713894785376963,0.5531859030604673,0.9949696213627215,1.0027039437056307,265
LRIF1,0.9973034623177826,-0.002700179888991967,0.2749978368984397,0.9924801852162608,1.0021501796877799,265
CEP70,0.9989243588089161,-0.001076220108245355,0.5463817079617772,0.9954372308564933,1.0024237025605671,265
DENND1B,0.9975598884694075,-0.0024430934545391432,0.16617958714626396,0.9941159374706392,1.001015770469415,265
PRR9,1.0000558093941077,5.580783682131244e-05,0.955691700384666,0.9980889574329002,1.0020265372689885,265
LMAN1L,0.9941084215929391,-0.005909002224688347,0.16034154998526928,0.9859414248635753,1.0023430692332955,265
SYNPR,0.9999572778877271,-4.272302488834988e-05,0.9827078955244626,0.9961015081917949,1.003827972729165,265
USP39,0.9940271630847894,-0.005990745651868145,0.26417993833832,0.9836288871064953,1.0045353627799833,265
SERTM1,0.9989899655340145,-0.001010544894525979,0.5499373071631137,0.9956858863378604,1.0023050089704821,265
TCIM,0.9966337737819958,-0.0033719047044408466,0.1352483189194454,0.9922340152569293,1.0010530416917247,265
MYH1,0.998047407751728,-0.0019545010416509717,0.47967293572085845,0.9926529888908457,1.0034711417460678,265
USP34,1.0012482298295033,0.0012474514383230796,0.32867124816546556,0.9987451932773391,1.0037575394451312,265
SFTPB,1.000951765635815,0.0009513129940852637,0.8271501092087448,0.9924411204897771,1.0095353935304576,265
TAAR1,0.997648570989839,-0.0023541979608683538,0.09091813179721345,0.9949293665958487,1.0003752071400769,265
LIG1,0.9997836767352063,-0.0002163466660460688,0.8100123252720313,0.9980218279531641,1.0015486357810162,265
ADAP1,0.9986586420810706,-0.0013422583447483937,0.2793541520541013,0.9962329379557355,1.0010902524962697,265
UTS2B,0.9997776946392384,-0.00022233007426113903,0.9109999461952494,0.995887694021266,1.0036828898468202,265
SLIT3,0.9984841230093076,-0.001517027094642395,0.6431935287853904,0.9920958265922472,1.004913554899392,265
TGOLN2,0.9980569414326131,-0.0019449487545783132,0.07827103760389487,0.9958985523327284,1.0002200083618766,265
MOK,0.9993988159479796,-0.0006013648356124596,0.7903276470163292,0.9949783444841908,1.0038389266009733,265
ZBTB25,0.9993556781797757,-0.0006445294847350727,0.8018509007233603,0.9943377208697975,1.0043989587728157,265
MED12L,0.9986291289601344,-0.0013718115432070788,0.46703634962359264,0.994944235070313,1.0023276702911896,265
CD248,1.0002545784034624,0.00025454600387931497,0.9349759983535645,0.9941566471857368,1.006389912947154,265
CHN1,0.9978316487558163,-0.002170705521625487,0.0600770748145883,0.9955763472536093,1.0000920592432656,265
ADGRF5,0.9999079128852755,-9.209135500328447e-05,0.9534015132162934,0.9968241743567462,1.0030011911536676,265
FOXK1,0.9976297168866621,-0.002373096681204182,0.1892908645672171,0.9941010967306206,1.0011708620869335,265
CNGB3,0.9962458697239197,-0.003761194709222569,0.19779200093994564,0.9905596085337451,1.0019647726310026,265
TMEM154,0.995179316211583,-0.0048323407626574815,0.13460219423113498,0.9888995395374204,1.0014989711478952,265
CEBPB,0.9990595685889087,-0.0009408738941493291,0.9789356910213599,0.9316633752604341,1.0713311782917783,265
RAB31,0.9935859154590312,-0.006434743166042539,0.5842277075712777,0.9709484456373043,1.0167511733855048,265
PTAFR,0.9999478667130764,-5.213464591064259e-05,0.9496361859355529,0.998331524243215,1.0015668261122008,265
CCDC18,0.9982821221655958,-0.0017193550785903986,0.1486064958342888,0.9959558977983262,1.0006137798254626,265
PIGN,0.9983913401336504,-0.0016099551489315823,0.4303370028613247,0.9944044982458423,1.0023941663701479,265
RLIM,1.0092950957726596,0.009252162212587251,0.19224614655481537,0.9953562164435829,1.0234291739197483,265
DEFB118,1.002861306200131,0.002857220455401285,0.8332657267569841,0.97653524124747,1.0298970861396333,265
PTPRN2,1.0038365089674832,0.0038291683358968346,0.6981886490578326,0.9845945641359765,1.0234544993860626,265
MPZ,0.9934220058762544,-0.006599724474258423,0.02549670923255703,0.9876860215376151,0.9991913019309812,265
ZAR1L,0.9980032811426559,-0.0019987149579856374,0.8210895885152266,0.9808640978017902,1.0154419469564249,265
TRNP1,1.0753209015197318,0.07261913007508398,0.1389122885117917,0.9767154782094117,1.183881147624539,265
DRC3,0.9994252833587189,-0.0005748818541934478,0.5151378939835527,0.997696603225556,1.0011569587260976,265
OR2H2,0.9997769169182156,-0.0002231079685164583,0.9706038586360084,0.9879833942914208,1.0117112184050119,265
FRY,1.0000618453305834,6.184341823977364e-05,0.9909404514873559,0.9894430161041025,1.010794637192917,265
KRT72,1.000848739895763,0.0008483799197274089,0.9081257377245904,0.9865313133466268,1.0153739537702653,265
CHD9,0.9996557547853271,-0.00034430448065861916,0.9261116434007286,0.9924079918072848,1.006956449691185,265
DSG3,0.9964371869089903,-0.003569175024986679,0.13275974506335708,0.9918111622987446,1.0010847883117826,265
CHST13,0.9987483601920362,-0.0012524237632897638,0.3756119012143977,0.9959851421291034,1.0015192444075451,265
HOXB8,1.0001682242394143,0.00016821009130362738,0.891745380271127,0.9977482994448221,1.0025940182858155,265
THEM6,0.9968736338188332,-0.003131263473733195,0.28600021137672416,0.9911559450899541,1.002624306221535,265
RETSAT,0.995583005343793,-0.004426778397555247,0.27060801264485984,0.987772927702653,1.0034548353483048,265
PRELID2,1.0026987974955377,0.00269516228058055,0.3716123368698956,0.9967879943557889,1.0086446508104037,265
KDM5D,0.996324048289597,-0.0036827246239215642,0.03685290926002648,0.992884798462064,0.9997752113213549,265
GPR173,0.9999224881657296,-7.75148384679147e-05,0.9312176497760591,0.998163992972196,1.0016840813525463,265
ILRUN,0.9962644647525003,-0.00374252978361646,0.1267463063413543,0.9914903869628908,1.0010615299750096,265
ELMOD3,0.9967842261056242,-0.003220955607038675,0.5184464861545406,0.9870868593605021,1.0065768619964122,265
KRTAP7-1,0.99950135364841,-0.0004987707170266811,0.7982761530800087,0.9956856254817287,1.003331704685071,265
IER5,0.9986027961674093,-0.0013981808320165999,0.32331020221063644,0.9958359416219519,1.0013773382081215,265
NBEAL2,0.9913899274234865,-0.008647353399377767,0.1750915422332201,0.9790759824174412,1.0038587462537651,265
CAPG,0.9961490067007978,-0.00385842746598623,0.21834244185489238,0.9900478836872476,1.002287727594854,265
NFIL3,0.9990452650165877,-0.0009551910331508182,0.6227001339871329,0.9952511679949726,1.0028538258968471,265
DNAH9,1.0004275278959742,0.00042743653196272106,0.9308503131126706,0.9908154848195575,1.010132818780402,265
GRM7,0.9974626279204776,-0.002540596663859312,0.13630208551730535,0.9941340798473609,1.0008023205992358,265
HMGA2,1.0029883967572595,0.0029839403757532207,0.5311033822442204,0.9936663774883578,1.0123978699696763,265
