gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
RIBC2,0.8301366508511975,-0.18616495216334564,0.43635958376160566,0.5194711884139315,1.3265930324076498,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6885212571066446
SMC1B,0.954455377831669,-0.04661438616876033,0.8479446635684812,0.592679054111976,1.5370630393489153,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9273722827430945
CSNK1E,1.2060317048486164,0.18733538722031323,0.30332219826153684,0.8441955015124487,1.7229569104480853,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5928365018614533
FAM118A,1.5420640073056155,0.43312178355696385,0.01496932652990828,1.087875761438025,2.1858758940304996,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.17549976051470592
UPK3A,1.3870138595136137,0.3271531337222901,0.051354119615726175,0.9980785222049172,1.9275111162925824,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.30184583458011544
SAMM50,0.8586815612057727,-0.15235713445170954,0.552098937462643,0.519674423638822,1.4188383919144663,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7651207526472178
PARVB,0.9359053736288495,-0.06624090416552017,0.7454413506911732,0.6274192480283144,1.3960663003883929,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8763649453734847
PARVG,0.9199304361230036,-0.08345722470762988,0.7057350022144515,0.5965095559518082,1.418706538498152,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8538456647324714
C1QTNF6,1.1067093448042176,0.10139105809881734,0.545448736714947,0.7966841768372809,1.537379063732982,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.760385361799294
EFCAB6,1.4927186937291033,0.4005990840120843,0.007219929877481777,1.1144273707415997,1.9994206505584573,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.1289846202715197
TTLL1,1.1971747953621221,0.17996444378625148,0.24070236913082965,0.8863191706090274,1.617055726850078,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5451699339362488
MYH9,1.2997085232272074,0.26214002642587236,0.06687452076396903,0.9819339077491608,1.7203217365429575,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3358004536895666
ADAMTS20,0.9323144948418092,-0.07008508039950223,0.768297251847281,0.5848767099050903,1.4861428102226657,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8872158151233132
NDUFA6,1.217607560482636,0.19688791743800066,0.427781223930923,0.7484580192658684,1.9808300975900643,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6814792674397309
TWF1,0.90125024289087,-0.10397232087858187,0.629319495469624,0.5908715263838329,1.3746676968543063,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8109410606897992
SMDT1,0.9017640410393531,-0.10340238844158416,0.507445469606985,0.6642054263136113,1.2242874771813048,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7362542444488165
NAGA,1.3278617216807778,0.28356992039245466,0.09790881736855665,0.949103663147499,1.8577704631944083,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3932644550059534
NELL2,1.1318531292020386,0.12385622684227532,0.5179492026226338,0.7775345492270176,1.647632902432487,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.742209520888636
WBP2NL,1.1156861534487734,0.10946959989982419,0.6007039607530666,0.7404717848170966,1.681030416715724,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7935391820885802
SEPTIN3,1.2437883469041804,0.21816184069713201,0.12700704097750762,0.9398464224623556,1.64602366399559,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4335445152174606
SLC38A2,1.1067520784351605,0.10142967059099782,0.5585806915970437,0.7878675263244131,1.5547031984361561,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7697031882373955
SREBF2,1.0621007394885305,0.06024877659643788,0.7029579185262456,0.7792541745662999,1.4476123678771606,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8525242149940047
SLC38A4,1.1027331277678907,0.09779175974339312,0.5175361964058505,0.8200564220597243,1.4828496166428324,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.742209520888636
RPAP3,0.7569152654923057,-0.27850396643030356,0.33586363679263986,0.4292544816607751,1.3346877985261125,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6171665685063121
ENDOU,0.8332758146599618,-0.18239058158415652,0.1775780256126203,0.639202773005343,1.0862727957712084,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.492001532790336
RAPGEF3,1.0112462471318027,0.011183478265559616,0.932357298379141,0.7810968389467323,1.3092089499646449,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9699051924843286
XRCC6,0.7410402791173714,-0.2997002973801538,0.06793789260742628,0.5371432330713598,1.0223356852778185,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3383050558953484
DESI1,1.2692670745893795,0.2384396272578406,0.10900136177796828,0.9482359963871326,1.6989851817215225,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.41008291756030024
PMM1,1.678349871534213,0.5178110913967934,0.004052686292342945,1.1790234717079795,2.3891452196437597,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.10457075175409154
HDAC7,1.5530375374717278,0.440212714815666,0.0030188652016721897,1.1610176783706923,2.07742365833827,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.09266569421912255
POLR3H,1.2847307701722435,0.2505491790196655,0.09317610724394025,0.9589192347839313,1.7212431370190138,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.38626741447887847
ACO2,1.4494497878533856,0.3711840277677522,0.030091073709514204,1.0364024569505441,2.027112801034663,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.24000875960522727
VDR,1.142262948827393,0.13301133764333886,0.37193664031300644,0.8530205906894857,1.5295816519613283,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6426429152698274
COL2A1,1.0212118682719318,0.020990028205566235,0.8942917265669438,0.7492965100186354,1.3918037331756858,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9515399240674814
HOXC10,0.8029227874282995,-0.21949672479145393,0.12045287030911865,0.6086360462831392,1.059229085277872,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4236738112577304
HOXC5,1.077703726272829,0.07483259823073268,0.6002273951743922,0.8146219193486869,1.4257476923171297,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7935391820885802
GTSF1,1.2240216230132037,0.2021418497945555,0.25322897501903097,0.8653503707583355,1.7313552801634893,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.555168821929762
NCKAP1L,0.6973962427059109,-0.3604015323290727,0.011041550088428515,0.5281629571591115,0.9208550367794975,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.15451305927474968
PDE1B,0.8534556563211755,-0.15846169319849646,0.3890393146859479,0.5950976664324488,1.223978177688401,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6543340795848931
PPP1R1A,1.6364455627980454,0.49252654999888723,0.0022336645148481756,1.1933633261124201,2.244039196952108,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.0856664604605482
SHISA9,0.9598431394376576,-0.04098540429001105,0.8365560784829996,0.6502696331450226,1.4167951344578182,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9221136151561123
TNFRSF17,1.3518383063767856,0.30146537459345685,0.05912700417553568,0.9884516545532123,1.848817590794246,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.31689646950825656
TXNDC11,0.712583209400524,-0.3388585885346408,0.011332082947688815,0.5481909964819126,0.9262735681145117,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.15610245642403023
LITAF,1.4075337297730437,0.3418390450593424,0.02749522242731058,1.0386345990633832,1.9074573504824246,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.22995871538595158
NUBP1,0.9016272543201563,-0.10355408787565726,0.48444174781384675,0.6744608033024644,1.2053060782071001,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7223644664744441
